26287,5010,-7486,19916,160,-3213,1780
26297,4987,-7488,19852,168,-3224,1789
26307,5019,-7465,19896,160,-3236,1782
26317,5032,-7473,19940,164,-3234,1777
26327,5035,-7473,19896,165,-3219,1790
26337,5014,-7471,19878,158,-3221,1782
26347,4977,-7468,19898,176,-3228,1778
26357,5034,-7509,19909,156,-3229,1778
26367,5023,-7520,19900,153,-3234,1781
26377,5009,-7476,19895,171,-3236,1786
26386,5013,-7468,19862,163,-3215,1786
26396,5055,-7471,19835,155,-3219,1786
26406,5006,-7494,19902,154,-3224,1784
26416,5024,-7485,19870,177,-3226,1788
26426,4982,-7491,19882,168,-3229,1778
26436,5014,-7470,19885,157,-3231,1776
26446,5010,-7464,19871,166,-3239,1792
26456,5005,-7427,19904,176,-3223,1777
26466,5031,-7465,19872,177,-3225,1774
26476,5021,-7500,19892,165,-3226,1782
26486,5023,-7475,19869,157,-3226,1783
26495,5052,-7493,19908,161,-3218,1790
26505,5049,-7472,19888,151,-3218,1790
26515,5038,-7465,19870,167,-3224,1777
26525,4999,-7468,19899,162,-3215,1782
26535,5040,-7440,19897,157,-3225,1787
26545,5046,-7457,19901,167,-3235,1773
26555,5022,-7465,19898,180,-3227,1782
26565,5006,-7500,19855,165,-3224,1796
26575,5016,-7464,19923,180,-3230,1788
26585,5051,-7511,19874,184,-3229,1776
26595,4994,-7472,19912,174,-3230,1781
26605,5030,-7472,19877,162,-3225,1786
26614,5032,-7448,19906,144,-3227,1789
26624,5005,-7476,19877,167,-3233,1770
26634,5026,-7509,19865,176,-3216,1778
26644,5020,-7448,19911,161,-3213,1780
26654,5035,-7440,19937,171,-3232,1777
26664,5019,-7472,19903,168,-3237,1771
26674,5017,-7424,19898,173,-3238,1781
26684,5034,-7476,19861,158,-3217,1778
26694,5040,-7462,19899,183,-3210,1769
26704,5031,-7491,19891,190,-3224,1777
26714,4995,-7474,19900,181,-3228,1786
26723,5011,-7488,19877,166,-3229,1782
26733,5031,-7452,19911,158,-3221,1787
26743,5039,-7458,19927,170,-3232,1779
26753,5002,-7473,19904,173,-3226,1776
26763,5016,-7446,19924,159,-3228,1787
26773,5036,-7481,19880,155,-3231,1786
26783,5037,-7505,19872,169,-3226,1777
26793,5040,-7475,19880,170,-3219,1795
26803,5024,-7476,19944,161,-3227,1782
26813,5004,-7508,19902,151,-3231,1775
26823,5032,-7470,19903,151,-3227,1772
26833,5024,-7457,19911,180,-3226,1787
26842,5027,-7467,19913,169,-3224,1783
26852,5025,-7523,19901,175,-3233,1779
26862,5014,-7462,19874,165,-3224,1790
26872,5013,-7450,19888,165,-3227,1780
26882,5038,-7455,19894,174,-3222,1784
26892,5007,-7473,19905,179,-3226,1787
26902,5014,-7468,19934,171,-3228,1788
26912,4995,-7490,19886,157,-3232,1787
26922,5021,-7483,19870,166,-3228,1778
26932,5028,-7496,19895,179,-3231,1779
26942,5013,-7461,19867,161,-3219,1799
26951,5016,-7489,19858,176,-3213,1782
26961,5028,-7463,19915,181,-3218,1778
26971,5025,-7473,19911,164,-3221,1778
26981,5057,-7457,19891,178,-3222,1781
27001,5043,-7483,19895,178,-3230,1781
27011,5004,-7465,19882,160,-3235,1776
27021,4963,-7446,19929,157,-3230,1773
27031,5009,-7472,19910,166,-3218,1772
27041,5039,-7458,19867,163,-3225,1777
27051,5029,-7479,19870,147,-3228,1792
27061,5014,-7508,19869,162,-3223,1788
27070,5019,-7498,19889,166,-3230,1776
27080,4987,-7469,19873,174,-3234,1784
27090,5009,-7465,19882,178,-3228,1783
27100,4977,-7476,19889,164,-3229,1772
27110,5033,-7483,19903,162,-3230,1786
27120,5038,-7478,19909,163,-3223,1790
